"timestamp","value"
2021-01-18 18:00:00,92
2021-01-18 19:00:00,84.7
2021-01-18 20:00:00,82.8
2021-01-18 21:00:00,77
2021-01-18 22:00:00,67.98
2021-01-18 23:00:00,63.03
2021-01-19 00:00:00,51
2021-01-19 01:00:00,49
2021-01-19 02:00:00,47.2
2021-01-19 03:00:00,44.94
2021-01-19 04:00:00,44.06
2021-01-19 05:00:00,46.81
2021-01-19 06:00:00,48.7
2021-01-19 07:00:00,63.5
2021-01-19 08:00:00,85
2021-01-19 09:00:00,85
2021-01-19 10:00:00,90
2021-01-19 11:00:00,81.62
2021-01-19 12:00:00,74.65
2021-01-19 13:00:00,72.41
2021-01-19 14:00:00,71.92
2021-01-19 15:00:00,71.61
2021-01-19 16:00:00,75.45
2021-01-19 17:00:00,74.65
2021-01-19 18:00:00,77
2021-01-19 19:00:00,75.62
2021-01-19 20:00:00,74.18
2021-01-19 21:00:00,69.95
2021-01-19 22:00:00,55.56
2021-01-19 23:00:00,48.83
2021-01-20 00:00:00,48.9
2021-01-20 01:00:00,47
2021-01-20 02:00:00,47
2021-01-20 03:00:00,44
2021-01-20 04:00:00,42.16
2021-01-20 05:00:00,47
2021-01-20 06:00:00,48.3
2021-01-20 07:00:00,61.4
2021-01-20 08:00:00,66.99
2021-01-20 09:00:00,70
2021-01-20 10:00:00,70.14
2021-01-20 11:00:00,65.4
2021-01-20 12:00:00,68.12
2021-01-20 13:00:00,65.65
2021-01-20 14:00:00,65.27
2021-01-20 15:00:00,64.88
2021-01-20 16:00:00,64.49
2021-01-20 17:00:00,68.22
2021-01-20 18:00:00,66.4
2021-01-20 19:00:00,63
2021-01-20 20:00:00,63.11
2021-01-20 21:00:00,56.65
2021-01-20 22:00:00,48.54
2021-01-20 23:00:00,51.94
2021-01-21 00:00:00,46.1
2021-01-21 01:00:00,47.01
2021-01-21 02:00:00,43
2021-01-21 03:00:00,39.23
2021-01-21 04:00:00,40.21
2021-01-21 05:00:00,42.92
2021-01-21 06:00:00,47.51
2021-01-21 07:00:00,58.81
2021-01-21 08:00:00,64.8
2021-01-21 09:00:00,64.86
2021-01-21 10:00:00,66
2021-01-21 11:00:00,64.01
2021-01-21 12:00:00,63.6
2021-01-21 13:00:00,61.41
2021-01-21 14:00:00,59.4
2021-01-21 15:00:00,60.81
2021-01-21 16:00:00,60.93
2021-01-21 17:00:00,61.26
2021-01-21 18:00:00,63.01
2021-01-21 19:00:00,63.3
2021-01-21 20:00:00,62.28
2021-01-21 21:00:00,58.01
2021-01-21 22:00:00,51.75
2021-01-21 23:00:00,50.59
2021-01-22 00:00:00,44
2021-01-22 01:00:00,38.01
2021-01-22 02:00:00,37.39
2021-01-22 03:00:00,32.77
2021-01-22 04:00:00,30.33
2021-01-22 05:00:00,35.68
2021-01-22 06:00:00,43.12
2021-01-22 07:00:00,56.5
2021-01-22 08:00:00,61.34
2021-01-22 09:00:00,62.63
2021-01-22 10:00:00,62.5
2021-01-22 11:00:00,61
2021-01-22 12:00:00,61.39
2021-01-22 13:00:00,59.81
2021-01-22 14:00:00,58.46
2021-01-22 15:00:00,58
2021-01-22 16:00:00,58.85
2021-01-22 17:00:00,61
2021-01-22 18:00:00,64.31
2021-01-22 19:00:00,63.25
2021-01-22 20:00:00,61
2021-01-22 21:00:00,56.1
2021-01-22 22:00:00,51.31
2021-01-22 23:00:00,48.4
2021-01-23 00:00:00,42.88
2021-01-23 01:00:00,47.57
2021-01-23 02:00:00,44.27
2021-01-23 03:00:00,43.01
2021-01-23 04:00:00,41.85
2021-01-23 05:00:00,42.53
2021-01-23 06:00:00,44
2021-01-23 07:00:00,45.96
2021-01-23 08:00:00,49.76
2021-01-23 09:00:00,53.35
2021-01-23 10:00:00,56.74
2021-01-23 11:00:00,58
2021-01-23 12:00:00,58.77
2021-01-23 13:00:00,57.05
2021-01-23 14:00:00,54.69
2021-01-23 15:00:00,52.47
2021-01-23 16:00:00,53
2021-01-23 17:00:00,58.49
2021-01-23 18:00:00,64.08
2021-01-23 19:00:00,65.59
2021-01-23 20:00:00,61.5
2021-01-23 21:00:00,57.07
2021-01-23 22:00:00,52.25
2021-01-23 23:00:00,50.02
2021-01-24 00:00:00,46.09
2021-01-24 01:00:00,44.6
2021-01-24 02:00:00,42.25
2021-01-24 03:00:00,40.43
2021-01-24 04:00:00,40.48
2021-01-24 05:00:00,39
2021-01-24 06:00:00,39.29
2021-01-24 07:00:00,38.66
2021-01-24 08:00:00,40.31
2021-01-24 09:00:00,42.31
2021-01-24 10:00:00,46.16
2021-01-24 11:00:00,49.8
2021-01-24 12:00:00,52
2021-01-24 13:00:00,50.27
2021-01-24 14:00:00,46.25
2021-01-24 15:00:00,45.56
2021-01-24 16:00:00,47.17
2021-01-24 17:00:00,52.4
2021-01-24 18:00:00,58.75
2021-01-24 19:00:00,61.86
2021-01-24 20:00:00,60.49
2021-01-24 21:00:00,55.75
2021-01-24 22:00:00,51.68
2021-01-24 23:00:00,51.62
2021-01-25 00:00:00,44.67
2021-01-25 01:00:00,45.36
2021-01-25 02:00:00,45.41
2021-01-25 03:00:00,44.76
2021-01-25 04:00:00,44.23
2021-01-25 05:00:00,45.61
2021-01-25 06:00:00,46.06
2021-01-25 07:00:00,60.49
2021-01-25 08:00:00,77.59
2021-01-25 09:00:00,79.19
2021-01-25 10:00:00,80.67
2021-01-25 11:00:00,77.01
2021-01-25 12:00:00,74.74
2021-01-25 13:00:00,71.22
2021-01-25 14:00:00,69.33
2021-01-25 15:00:00,67.7
2021-01-25 16:00:00,68.38
2021-01-25 17:00:00,71.35
2021-01-25 18:00:00,79.95
2021-01-25 19:00:00,80.57
2021-01-25 20:00:00,76
2021-01-25 21:00:00,66.04
2021-01-25 22:00:00,58
2021-01-25 23:00:00,53.34
2021-01-26 00:00:00,46.83
2021-01-26 01:00:00,45.61
2021-01-26 02:00:00,41.67
2021-01-26 03:00:00,41.5
2021-01-26 04:00:00,41.32
2021-01-26 05:00:00,42.3
2021-01-26 06:00:00,45.54
2021-01-26 07:00:00,57.47
2021-01-26 08:00:00,69.48
2021-01-26 09:00:00,76
2021-01-26 10:00:00,77.1
2021-01-26 11:00:00,72.21
2021-01-26 12:00:00,71.02
2021-01-26 13:00:00,68.15
2021-01-26 14:00:00,65.1
2021-01-26 15:00:00,63.99
2021-01-26 16:00:00,64.37
2021-01-26 17:00:00,68.48
2021-01-26 18:00:00,72
2021-01-26 19:00:00,70.4
2021-01-26 20:00:00,66.15
